entry_date,exit_date,direction,asset_traded,entry_price,exit_price,entry_gsr,entry_gsr_pct,entry_z,exit_z,days_held,exit_reason,corr_at_entry,vix_at_entry,gross_pnl_%,net_pnl_%,net_pnl_₹,total_cost_₹,income_tax_₹,effective_tax_%,cost_%,equity_after
2022-03-02,2022-03-29,BUY_GOLD,Gold,1920.9,1912.0,76.07,53.8,-2.123,-0.4,20,MAX_HOLD,0.843,33.3,-0.463,-0.689,-3099.88,1014.91,0.0,0.0,0.2255,496900.12
2022-04-26,2022-05-10,BUY_SILVER,Silver,23.542,21.6586,79.99,93.1,1.626,2.991,11,PRICE_STOP,0.89,27.0,-8.0,-8.226,-36785.43,1008.62,0.0,0.0,0.2255,460114.69
2022-05-12,2022-06-09,BUY_SILVER,Silver,20.757,21.797,85.97,99.6,2.727,1.075,20,MAX_HOLD,0.87,32.6,5.01,4.785,19814.12,933.95,0.0,0.0,0.2255,479928.81
2022-07-01,2022-07-29,BUY_SILVER,Silver,19.597,20.156,88.95,100.0,1.752,0.073,20,Z_REVERSION,0.774,28.7,2.852,2.627,11346.71,974.17,0.0,0.0,0.2255,491275.52
2022-08-30,2022-09-27,BUY_SILVER,Silver,18.159,18.257,93.59,99.4,1.552,-0.431,20,MAX_HOLD,0.739,26.2,0.54,0.314,1388.96,997.2,0.0,0.0,0.2255,492664.48
2022-10-04,2022-10-12,BUY_GOLD,Gold,1721.1,1670.3,82.5,68.9,-2.434,-0.225,7,Z_REVERSION,0.796,30.1,-2.952,-3.177,-14087.34,1000.02,0.0,0.0,0.2255,478577.14
2022-11-07,2022-12-05,BUY_GOLD,Gold,1676.5,1767.4,80.45,62.0,-2.065,-1.634,20,MAX_HOLD,0.848,24.5,5.422,5.196,22382.23,971.43,0.0,0.0,0.2255,500959.37
2022-12-08,2023-01-06,BUY_GOLD,Gold,1788.7,1864.2,78.62,46.9,-1.81,-0.691,20,MAX_HOLD,0.832,22.7,4.221,3.995,18013.83,1016.86,0.0,0.0,0.2255,518973.2
2023-02-06,2023-03-06,BUY_SILVER,Silver,22.177,20.984,83.41,70.9,1.511,1.777,20,MAX_HOLD,0.823,18.3,-5.379,-5.605,-26179.54,1053.42,0.0,0.0,0.2255,492793.66
2023-03-08,2023-03-27,BUY_SILVER,Silver,20.005,23.054,90.45,92.4,2.235,0.197,14,Z_REVERSION,0.849,19.6,15.241,15.016,66596.62,1000.28,0.0,0.0,0.2255,559390.28
2023-04-13,2023-05-10,BUY_GOLD,Gold,2041.3,2030.5,79.16,47.2,-1.685,-0.933,20,MAX_HOLD,0.796,19.1,-0.529,-0.755,-3799.1,1135.46,0.0,0.0,0.2255,555591.18
2023-06-22,2023-07-20,BUY_SILVER,Silver,22.436,24.805,84.89,76.1,1.596,-1.244,20,MAX_HOLD,0.714,13.2,10.559,10.333,51670.24,1127.75,0.0,0.0,0.2255,607261.42
2023-08-24,2023-09-05,BUY_GOLD,Gold,1918.2,1926.2,78.75,38.1,-1.687,0.014,8,Z_REVERSION,0.75,16.0,0.417,0.192,1046.74,1232.63,0.0,0.0,0.2255,608308.16
2023-10-03,2023-10-30,BUY_SILVER,Silver,21.178,23.282,86.25,83.8,2.162,0.95,20,MAX_HOLD,0.759,17.6,9.935,9.709,53156.23,1234.76,0.0,0.0,0.2255,661464.39
2023-11-28,2023-12-06,BUY_GOLD,Gold,2039.7,2030.5,81.54,53.2,-1.655,0.246,7,Z_REVERSION,0.745,12.7,-0.451,-0.677,-4027.81,1342.66,0.0,0.0,0.2255,657436.58
2024-01-04,2024-02-01,BUY_SILVER,Silver,22.989,23.13,88.65,92.6,1.978,1.04,20,MAX_HOLD,0.79,14.0,0.613,0.388,2294.56,1334.48,0.0,0.0,0.2255,659731.14
